#,Database,gbifID,PBDB collection #,occurrenceID,genus,specificEpithet,verbatimScientificName,Notes,preparations,occurrenceRemarks,institutionCode,collectionCode,catalogNumber,locationID,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,continent,countryCode,stateProvince,county,locality,verbatimLocality,formation,Max age (years),Min age (years),Average age (years),Method,Citation for age,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,Citation
554,Neotoma,5101,4020,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.248333,-101.006111,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Bagnell [32OL16],N/A,N/A,380,260,320,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
555,Neotoma,5103,4022,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.238889,-101.241667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Mahaha [32OL22],N/A,N/A,650,170,410,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
556,Neotoma,5104,4023,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.253333,-101.274167,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Ft. Clark [32ME2],N/A,N/A,140,88,114,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
557,Neotoma,5105,4024,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.324444,-101.377778,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Amahami [32ME8],N/A,N/A,650,105,377.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
558,Neotoma,5155,4074,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.366667,-95,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Arthur [13DK27],N/A,N/A,1350,1050,1200,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
559,Neotoma,5168,4087,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.5,-104.75,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Recon John Shelter,N/A,N/A,1910,1150,1530,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
560,Neotoma,5169,4088,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.916667,-98.683333,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Hulme [25HL28],N/A,N/A,850,550,700,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
561,Neotoma,5178,4097,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.366667,-104.5,N/A,N/A,NORTH_AMERICA,US,Colorado,Weld,Jurgens [5WLl53],N/A,N/A,12000,8000,10000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
564,Neotoma,5181,4098,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.5,-111.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Sun River [24CA74],N/A,N/A,6750,3450,5100,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
565,Neotoma,5182,4099,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.616667,-109.616667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Holmes Terrace [24FR52],N/A,N/A,3220,350,1785,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
566,Neotoma,5186,4103,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.75,-103.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Lightning Spring [39HN204],N/A,N/A,3950,200,2075,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
567,Neotoma,5188,4104,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.266667,-106.45,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Ellison's Rock [24RB1020],N/A,N/A,1150,900,1025,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
568,Neotoma,5189,4105,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48.233333,-111.316667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Bootlegger Trail [24TL1237],N/A,N/A,760,565,662.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
569,Neotoma,5193,4109,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.616667,-113.116667,N/A,N/A,NORTH_AMERICA,US,Montana,Granite,Morse Creek #1,N/A,N/A,10000,1,5000.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
570,Neotoma,5199,4113,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.5,-105.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Dutch Creek [5JF463],N/A,N/A,3260,1220,2240,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
571,Neotoma,5202,4116,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.366667,-106.75,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Walton Creek [5RT11],N/A,N/A,1730,1730,1730,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
574,Neotoma,5207,4120,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.75,-108.616667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Drake [24YL51],N/A,N/A,3350,350,1850,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
575,Neotoma,5209,4122,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.616667,-108.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Pictograph Cave [Inscription Cave] [24YL1],N/A,N/A,5000,1,2500.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
576,Neotoma,5210,4123,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.75,-108.75,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Fort Davy Crockett [5MF605],N/A,N/A,1000,50,525,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
577,Neotoma,5219,4132,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.5,-108.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Prairie Dog Hamlet [5MT4614],N/A,N/A,1550,150,850,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
578,Neotoma,5221,4134,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.5,-108.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Dos Casas Hamlet [5MT2193],N/A,N/A,1550,150,850,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
579,Neotoma,5223,4136,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.5,-108.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Lemoc Shelter [5MT2151],N/A,N/A,1550,150,850,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
580,Neotoma,5226,4139,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.52778,-108.55472,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Grass Mesa Village [5MT0023],N/A,N/A,1350,1025,1187.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
581,Neotoma,5227,4140,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.366667,-108.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Kin Tl'iish [5MT2336],N/A,N/A,1100,975,1037.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
582,Neotoma,5229,4142,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.5,-108.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Windy Wheat Hamlet,N/A,N/A,1210,1125,1167.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
583,Neotoma,5247,4157,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.5,-100.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Robinson,N/A,N/A,500,100,300,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
584,Neotoma,5253,4163,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.616667,-101.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Sanford Ruin [41HC3],N/A,N/A,1250,1250,1250,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
585,Neotoma,5254,4164,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.616667,-101.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Pickett Ruin [A-116],N/A,N/A,1240,1240,1240,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
586,Neotoma,5256,4166,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.616667,-101.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Medford Ranch [41HC10],N/A,N/A,700,500,600,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
589,Neotoma,5259,4169,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.616667,-101.5,N/A,N/A,NORTH_AMERICA,US,N/A,N/A,Antelope Creek 22,N/A,N/A,700,500,600,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
590,Neotoma,5319,4205,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.116667,-108.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Mesa Verde Site 499,N/A,N/A,875,825,850,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
591,Neotoma,5329,4215,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.3875,-97.677778,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Jetta Court [41TV151],N/A,N/A,10000,500,5250,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
592,Neotoma,5347,4233,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.866667,-104.75,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Woodland Cave,N/A,N/A,2000,433,1216.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
593,Neotoma,5348,4234,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.866667,-104.75,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Fire Cave,N/A,N/A,740,433,586.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
594,Neotoma,5374,4260,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.366667,-103.616667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Hord Rockshelter,N/A,N/A,110000,11500,60750,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
595,Neotoma,5375,4261,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.5,-96.583333,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Budenbender [14PO4],N/A,N/A,760,760,760,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
596,Neotoma,5376,4262,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.083333,-96.583333,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Witt [14GE600],N/A,N/A,835,595,715,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
597,Neotoma,5380,4266,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.366667,-107.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Haystack Cave [5GN189],N/A,N/A,14935,12154,13544.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
598,Neotoma,5384,4270,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.366667,-100.5,N/A,N/A,NORTH_AMERICA,US,Texas,N/A,41TG91,N/A,N/A,2180,110,1145,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
599,Neotoma,5397,4282,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.616667,-104.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Caldwell Ranch Site No. 1,N/A,N/A,1000,650,825,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
600,Neotoma,5398,4283,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.866667,-101.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Murrah Cave,N/A,N/A,4000,500,2250,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
601,Neotoma,5467,4322,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.344722,-100.478333,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Doyle [25RW28],N/A,N/A,1940,1370,1655,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
602,Neotoma,5470,4324,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.25,-100.616667,N/A,N/A,NORTH_AMERICA,US,Nebraska,N/A,25RW22,N/A,N/A,1000,500,750,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
603,Neotoma,5473,4327,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.354444,-100.67,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Spring Creek [25FT31],N/A,N/A,5680,5680,5680,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
604,Neotoma,5476,4330,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.366667,-99.466667,N/A,N/A,NORTH_AMERICA,US,Texas,Uvalde,Kincaid Shelter [41UV2],N/A,N/A,15000,1,7500.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
605,Neotoma,5478,4331,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.866667,-94,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Ten Mile Rock [3WA197],N/A,N/A,35000,1,17500.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
606,Neotoma,5640,4480,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.366667,-94.5,N/A,N/A,NORTH_AMERICA,US,Arkansas,Benton,Albertson [3BE174],N/A,N/A,10000,2850,6425,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
607,Neotoma,5644,4483,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.866667,-121.75,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Nightfire Island [4SK4],N/A,N/A,7000,930,3965,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
608,Neotoma,5692,4531,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39,-116.783333,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Gatecliff Shelter [26NY301],N/A,N/A,3975,1,1988,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
609,Neotoma,5725,4564,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.443333,-117.343333,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Dirty Shame Rockshelter [35ML65],N/A,N/A,9500,365,4932.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
610,Neotoma,5726,4565,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,-119.366667,N/A,N/A,NORTH_AMERICA,US,Washington,Benton,Umatilla Mammoth [45BN254],N/A,N/A,13000,11000,12000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
611,Neotoma,5731,4570,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.616667,-118.2,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Marmes Rockshelter [45FR50],N/A,N/A,12310,660,6485,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
612,Neotoma,5736,4575,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.720833,-111.502778,N/A,N/A,NORTH_AMERICA,US,Utah,Summit,Silver Creek,N/A,N/A,100000,40000,70000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
613,Neotoma,5738,4577,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.616667,-114,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Danger Cave [42TO13],N/A,N/A,10270,1,5135.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
614,Neotoma,5739,4578,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.366667,-113.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Hogup Cave,N/A,N/A,10000,100,5050,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
615,Neotoma,5748,4587,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.116667,-116,N/A,N/A,NORTH_AMERICA,US,Nevada,Elko,Mineral Hill Cave,N/A,N/A,110000,1,55000.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
616,Neotoma,5749,4588,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.1,-113.933333,N/A,N/A,NORTH_AMERICA,US,Arizona,Mohave,Vulture Cave,N/A,N/A,15000,13000,14000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
617,Neotoma,5751,4590,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.25,-114.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Kachina Cave [26WH13 (Berkeley)] [26WP69],N/A,N/A,5000,1,2500.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
618,Neotoma,5755,4594,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.25,-121,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Fort Rock Cave [35LK1],N/A,N/A,4450,1,2225.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
619,Neotoma,5756,4595,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.25,-121,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Connley Cave No. 3 [35LK50/3],N/A,N/A,3400,1,1700.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
623,Neotoma,5785,4624,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.25,-120.366667,N/A,N/A,NORTH_AMERICA,US,Oregon,Lake,Fossil Lake,N/A,N/A,65000,35000,50000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
624,Neotoma,5838,4675,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.333333,-112.233333,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Ventana Cave [AZ Z:12:5],N/A,N/A,3200,1,1600.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
628,Neotoma,5843,4676,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.366667,-117.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Timothy's Village [Alpaweyma] [45AS82],N/A,N/A,5000,2500,3750,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
632,Neotoma,5851,4678,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.366667,-117.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Pig Farm [45AS78],N/A,N/A,3000,100,1550,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
633,Neotoma,5853,4680,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.616667,-119.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Last Supper Cave [26HU102],N/A,N/A,6000,1,3000.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
634,Neotoma,5854,4681,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.5,-119.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Hanging Rock Shelter,N/A,N/A,8000,1,4000.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
635,Neotoma,5856,4683,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.7625,-111.45,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Sudden Shelter [45SV6],N/A,N/A,8400,3535,5967.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
636,Neotoma,5866,4688,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.25,-109.616667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Point of Pines,N/A,N/A,1950,500,1225,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
637,Neotoma,5867,4689,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.366667,-109.266667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Thorne Cave,N/A,N/A,4230,4170,4200,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
638,Neotoma,5871,4693,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.366667,-104.75,N/A,N/A,NORTH_AMERICA,US,New Mexico,Eddy,Burnet Cave,N/A,N/A,11300,10900,11100,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
639,Neotoma,5874,4694,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.373611,-104.481944,N/A,N/A,NORTH_AMERICA,US,New Mexico,Eddy,Dry Cave,N/A,N/A,14470,10730,12600,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
640,Neotoma,5884,4695,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.5,-107.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Guadalupe Ruin,N/A,N/A,1030,650,840,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
641,Neotoma,5886,4697,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.866667,-106.75,N/A,N/A,NORTH_AMERICA,US,New Mexico,Bernalillo,Isleta Cave No. 1 [UTEP42],N/A,N/A,20000,1,10000.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
643,Neotoma,5893,4704,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.5,-117.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Ezra's Retreat [26HU300],N/A,N/A,4950,750,2850,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
647,Neotoma,5899,4706,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.616667,-117.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Granite Point [45WT41],N/A,N/A,9000,1,4500.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
648,Neotoma,5904,4711,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.5,-118,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Tucannon [45CO1],N/A,N/A,8000,5000,6500,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
649,Neotoma,5905,4712,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.616667,-118.116667,N/A,N/A,NORTH_AMERICA,US,Washington,N/A,45WT2,N/A,N/A,6700,150,3425,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
650,Neotoma,5910,4717,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.75,-110.25,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Awatovi,N/A,N/A,1450,250,850,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
651,Neotoma,5911,4718,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.116667,-109.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Antelope House,N/A,N/A,1004,100,552,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
